Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid
LVA,2010,13.2286,2149.363127813745,3230.427807614103,33.1,45.14863437452845,54.85996680247472,23468324572.33428,11188.4191700977,24119.73078489392,2097555.0,67.8270681752453,20.86120259779544,4.115884972832405,54.19062464846449,29.0067012711524,0
LVA,2011,12.6509,2066.7147605043333,3264.053320153478,35.5,49.51583784670934,50.498276710979816,26575547900.824738,12902.57405333702,25308.732207462603,2059709.0,67.8266897008267,21.418901034980955,3.777800793628375,54.25271988043775,29.18347341186302,0
LVA,2012,12.5754,2171.0787082393367,3587.932865986111,40.4,33.37116912599319,66.63272255553754,27116149948.668335,13329.349993127104,27496.545458363544,2034319.0,67.8331638942219,21.415590339156054,3.532853880289757,54.31481511241102,29.585228277114435,0
LVA,2013,12.3292,2156.58828450936,3473.038242672461,39.6,43.08262200032211,56.91963279110968,29152128167.84381,14484.47152821325,28375.184288726286,2012647.0,67.847334482933,20.821095897635804,3.212086904136796,54.37691034438428,30.163755283076476,0
LVA,2014,12.2099,2177.0296826944423,3506.4014019586893,40.2,45.47577349678926,54.53298307063631,30277203767.405777,15185.81458123595,29243.74125026286,1993782.0,67.8686035364944,19.61860432667025,3.616396389636825,54.43900557635754,30.083404310026197,0
LVA,2015,12.4808,2155.8522069548985,3491.2291968706368,38.1,49.82830290981384,50.18507138984276,26344565876.89022,13321.975314061565,30599.613313414728,1977527.0,67.8965395668259,19.783456744898757,3.554450184450871,54.50110080833079,30.284281742651903,0
LVA,2016,12.4655,2172.4388466161136,3563.086586270124,38.5,45.82814445828144,54.18415317559153,27117105059.507458,13838.526682327232,31668.51484426617,1959537.0,67.9307110858472,19.16543657498718,3.3253253895576056,54.563292461471704,31.031545792019543,0
LVA,2017,12.3325,2265.2169391589227,3600.467087622178,42.6,27.45983269154163,72.52290532465808,29391059767.425938,15132.495833398172,33036.39159434369,1942248.0,67.9706866054779,19.776729391499323,3.62476211824764,54.62548411461263,31.063686181239653,0
LVA,2018,12.9111,2403.499817809274,3728.2570229776866,41.0,47.962522308149914,52.03152885187389,33247935477.357624,17252.171042862567,34729.70627630565,1927174.0,68.0160346376376,19.34535680058741,3.661047780195126,54.687675767753554,31.14403715428994,0
LVA,2019,12.7841,2343.5158188488062,3725.0068188159607,41.5,50.403852127990056,49.58232370301336,33099503950.847004,17294.975160096918,35208.193459085865,1913822.0,68.066323694246,19.598852788620665,3.8534344419983615,54.74986742089446,31.497581435711187,0
