Ref_Area,ln_Population,ln_GDP_Per_Capita_PPP,ln_Energy_Per_Capita,Renewable_%,Urban_%,Forest_%,Agri_VA_%
RUS,18.786436013437072,10.321445791934757,8.459477245484168,3.405263157894737,73.71549113309896,49.664722724835116,4.093185636017476
RWA,16.122205661102914,7.4145394018846105,5.906894153082582,87.97368421052632,17.476602934344907,11.08313954728735,27.51264125897932
SAU,16.970444875409775,10.927868387496392,8.875377743947432,0.0,81.78349222814532,0.4544841349217794,3.135119731119041
SEN,16.337616111463344,8.129035404644531,5.59945918871782,42.873684210526314,43.75912867255159,44.16879392685214,14.533209847687973
SGP,15.39129098071698,11.412129750290488,8.555455521343468,0.5631578947368421,100.0,24.511961246241427,0.04679824503066393
SLV,15.619273303715133,9.070829678861774,6.485059452199596,29.599999999999998,64.45066814801416,30.56853281853282,6.208544617746116
SUR,13.202165345194203,9.943797192243833,7.201264759892047,20.36842105263158,66.46841152322118,95.28089468287844,8.813617913071981
SVK,15.501376107637293,10.208449321409123,8.106829216644154,8.989473684210527,54.77746168347688,39.81641199557507,1.893027456204018
SVN,14.524318330997502,10.513761697299282,8.159601426677762,19.30526315789474,51.29448193971428,61.69446745686647,2.113367115831549
SWE,16.052059720487524,10.918441258416353,8.575738393242824,43.88421052631579,85.28569583752989,68.9107996992066,1.4011861998397044
SYR,16.800855256272406,8.892346418476789,6.682620769096799,1.7052631578947368,61.214945932957896,2.6365279902385663,25.647992307964852
TGO,15.691840790045998,7.683425274288704,6.034758628939788,76.17894736842106,37.09171062408252,22.831922470268335,18.347929390634487
THA,18.030942008233723,9.676571978836018,7.390333757675172,21.957894736842103,42.03348422984743,38.64901394985634,9.541869308577544
TJK,15.838688909072118,7.7434716248715985,5.768168248807644,56.16842105263158,26.481672017953667,2.9627153511867412,21.548695072783804
TKM,15.517704064024096,9.03329907809754,8.172231396015002,0.09473684210526316,46.818396404517976,8.782159044964144,14.07136440792623
TTO,14.10026223622771,10.352328344327972,9.419102682586844,0.5,54.68594871414766,45.38699086898533,0.7937812069188904
TUN,16.18514734666822,9.34697050824393,6.777754381330263,13.578947368421053,66.27020021034441,4.406932625074529,8.746769162860788
TUR,18.10079022307683,9.912383426694294,7.244303574821672,14.131578947368421,71.50972397423051,27.294116379914612,7.961998646227431
TZA,17.597317769383405,7.842840230370852,6.030431920912579,88.11052631578947,27.43260041578009,56.775090610925595,25.826492306823074
UGA,17.26460047707974,7.63676472416322,6.041062661094556,93.6421052631579,18.464265443340025,13.949948571493167,25.543275171703673
UKR,17.664331646354896,9.654419517556946,7.85233619770655,2.9157894736842103,68.37039823759726,16.52533790980918,9.661515043280835
URY,15.015387454498786,10.039117854553593,7.048242847285023,48.32631578947369,93.5169307219986,9.676563279986047,7.65822026783998
USA,19.538429216310274,11.009651957334379,8.894083321848747,7.278947368421053,80.27406383669643,33.60712884105162,1.083593823898093
UZB,17.15040805935864,8.583267548963121,7.335978740111346,1.2,50.64221542733805,7.575853541941893,26.73673910306862
VNM,18.270024744622205,8.841309636804024,6.365463987711545,39.95789473684211,29.422684771983906,42.22055603410124,18.04620595315894
ZAF,17.769210744919473,9.51098261560696,7.7759958602416095,9.857894736842105,61.14685500127555,14.385156913337015,2.341974392892324
ZMB,16.413794462324848,7.995723969773587,6.459702266941343,87.58421052631579,39.31465519715215,62.47469664219602,10.690284127788871
ZWE,16.399383692325706,8.430203280633547,6.134265332981672,78.8,33.061761363777414,46.403903321700916,12.473622972767842
